checkpoint,epoch,mse,mae,max_abs_error,relative_l2,train_total,train_pde,train_boundary,train_initial,figure,grid,device,dtype
checkpoint_epoch_017000.pt,17000,0.0015364758864806918,0.012862736518784241,0.7733316063617865,0.06380516535127052,0.001647445373237133,0.001364904921501875,3.367820318089798e-05,0.00024886216851882637,figures\comparison_epoch_017000.png,grids\grid_epoch_017000.npz,cpu,torch.float32
checkpoint_epoch_017500.pt,17500,0.01783385164298316,0.030723617417409716,1.7883590391503392,0.21737797504410453,0.004926735535264015,0.003261239267885685,7.595373608637601e-05,0.0015895422548055649,figures\comparison_epoch_017500.png,grids\grid_epoch_017500.npz,cpu,torch.float32
checkpoint_epoch_018000.pt,18000,0.010369340040657968,0.01977189536006,1.4686178321682108,0.16575571926853444,0.0014975924277678132,0.0010405657812952995,5.693521234206855e-05,0.00040009140502661467,figures\comparison_epoch_018000.png,grids\grid_epoch_018000.npz,cpu,torch.float32
checkpoint_epoch_018500.pt,18500,0.0013601255664308395,0.0174102370892348,0.7115461647157976,0.06003195214529081,0.002206043805927038,0.0017095733201131225,0.000169588893186301,0.0003268817672505975,figures\comparison_epoch_018500.png,grids\grid_epoch_018500.npz,cpu,torch.float32
checkpoint_epoch_019000.pt,19000,0.0025481548695134976,0.02323458586411117,0.6670888077897261,0.08216859743197266,0.00628220709040761,0.004143808037042618,7.38843809813261e-05,0.0020645144395530224,figures\comparison_epoch_019000.png,grids\grid_epoch_019000.npz,cpu,torch.float32
checkpoint_epoch_019500.pt,19500,0.01059032586074681,0.0499289223226933,1.3801925632276753,0.1675126564376723,0.008229093626141548,0.00404044333845377,0.00017622410086914897,0.0040124268271028996,figures\comparison_epoch_019500.png,grids\grid_epoch_019500.npz,cpu,torch.float32
checkpoint_epoch_020000.pt,20000,0.002161895883535102,0.008342183529859541,0.8696215309024076,0.07568509342818709,0.0002475011278875172,0.00016718886035960168,6.957132427487522e-06,7.33551278244704e-05,figures\comparison_epoch_020000.png,grids\grid_epoch_020000.npz,cpu,torch.float32
checkpoint_epoch_020500.pt,20500,0.0012465054052799762,0.009543237320637108,0.8066736578588792,0.05746984782006808,0.0006012508529238403,0.00040041402098722756,2.2038782844902016e-05,0.00017879802908282727,figures\comparison_epoch_020500.png,grids\grid_epoch_020500.npz,cpu,torch.float32
checkpoint_epoch_021000.pt,21000,0.00015756858587725125,0.00536075503246896,0.263339599373427,0.020432795234217444,0.0002039071114268154,0.00014813810412306339,6.9180682658043224e-06,4.885094676865265e-05,figures\comparison_epoch_021000.png,grids\grid_epoch_021000.npz,cpu,torch.float32
checkpoint_epoch_021500.pt,21500,0.0001464000922556088,0.007067579385277109,0.12864660334467048,0.01969534711341753,0.0015791506739333272,0.0013465312076732516,2.6118003006558865e-05,0.0002065014559775591,figures\comparison_epoch_021500.png,grids\grid_epoch_021500.npz,cpu,torch.float32
checkpoint_epoch_022000.pt,22000,0.0013006993548476595,0.008118918676856721,0.6466740991602178,0.05870585620796689,0.0006290539167821407,0.0005352565203793347,1.2971739124623127e-05,8.082561544142663e-05,figures\comparison_epoch_022000.png,grids\grid_epoch_022000.npz,cpu,torch.float32
checkpoint_epoch_022500.pt,22500,0.012591952962101423,0.02005385610398772,1.6358200434869583,0.18265834166651743,0.0009338846430182457,0.0003962945193052292,1.8642275563252042e-06,0.0005357259069569409,figures\comparison_epoch_022500.png,grids\grid_epoch_022500.npz,cpu,torch.float32
checkpoint_epoch_023000.pt,23000,0.001091370220029682,0.00933466493938539,0.6390756231230925,0.05377482597843919,0.0005377755733206868,0.0003455632249824703,1.3016369848628528e-05,0.00017919599486049265,figures\comparison_epoch_023000.png,grids\grid_epoch_023000.npz,cpu,torch.float32
checkpoint_epoch_023500.pt,23500,0.0014226478333311074,0.013873787361591554,0.7894295755762551,0.06139622478484479,0.06030375882983208,0.05980011075735092,0.00010452377318870276,0.0003991242847405374,figures\comparison_epoch_023500.png,grids\grid_epoch_023500.npz,cpu,torch.float32
checkpoint_epoch_024000.pt,24000,0.0005548727546906293,0.0055293323793889045,0.5039946087403118,0.03834331561654484,0.0006812289357185364,0.0006057058344595134,1.1895970601472072e-05,6.362717249430716e-05,figures\comparison_epoch_024000.png,grids\grid_epoch_024000.npz,cpu,torch.float32
checkpoint_epoch_024500.pt,24500,0.0016264063781986162,0.011630743908025175,0.8755821227764289,0.06564588361833813,0.0007160163950175047,0.0004919922212138772,2.702886604311061e-06,0.0002213212865171954,figures\comparison_epoch_024500.png,grids\grid_epoch_024500.npz,cpu,torch.float32
checkpoint_epoch_025000.pt,25000,0.004558179988668676,0.014834776900508351,1.1969610604223697,0.10989772423962653,0.002460288815200329,0.002140248892828822,2.5605986593291163e-05,0.00029443399398587644,figures\comparison_epoch_025000.png,grids\grid_epoch_025000.npz,cpu,torch.float32
