total,pde,boundary,initial
9.744660556316375732e-02,3.506519272923469543e-02,1.730663934722542763e-03,6.065074354410171509e-02
1.119852662086486816e-01,3.451464697718620300e-02,1.903180964291095734e-03,7.556743919849395752e-02
1.082411110401153564e-01,3.655967861413955688e-02,2.236697589978575706e-03,6.944473087787628174e-02
9.190947562456130981e-02,3.715903311967849731e-02,1.832449459470808506e-03,5.291799455881118774e-02
1.026597768068313599e-01,5.196546018123626709e-02,6.781112751923501492e-04,5.001620948314666748e-02
1.037193834781646729e-01,4.542345926165580750e-02,4.893649020232260227e-04,5.780655518174171448e-02
9.926861524581909180e-02,4.719969630241394043e-02,6.042945897206664085e-04,5.146462470293045044e-02
9.581720829010009766e-02,5.181421339511871338e-02,5.765898386016488075e-04,4.342640191316604614e-02
9.236216545104980469e-02,3.997533768415451050e-02,1.189871923997998238e-03,5.119695514440536499e-02
8.820025622844696045e-02,3.686178475618362427e-02,2.753500360995531082e-03,4.858496785163879395e-02
9.998867660760879517e-02,3.218722343444824219e-02,2.797879278659820557e-03,6.500357389450073242e-02
1.011369526386260986e-01,3.213966637849807739e-02,1.583423116244375706e-03,6.741385906934738159e-02
1.091092824935913086e-01,2.715362608432769775e-02,5.925007862970232964e-04,8.136315643787384033e-02
9.011219441890716553e-02,2.894513681530952454e-02,5.476344958879053593e-04,6.061942130327224731e-02
8.783444762229919434e-02,3.360538184642791748e-02,9.642442455515265465e-04,5.326481908559799194e-02
1.026184558868408203e-01,4.694780334830284119e-02,1.238257158547639847e-03,5.443239584565162659e-02
1.000419557094573975e-01,4.285900294780731201e-02,8.721313788555562496e-04,5.631081759929656982e-02
8.945746719837188721e-02,4.631731286644935608e-02,1.220485894009470940e-03,4.191966727375984192e-02
1.012959629297256470e-01,5.390200391411781311e-02,8.182595483958721161e-04,4.657570272684097290e-02
8.771656453609466553e-02,4.785902798175811768e-02,5.794360185973346233e-04,3.927810117602348328e-02
9.687446057796478271e-02,5.279351398348808289e-02,8.010008605197072029e-04,4.327994957566261292e-02
8.378237485885620117e-02,3.545789420604705811e-02,4.002953355666249990e-04,4.792419075965881348e-02
1.036009490489959717e-01,3.441265970468521118e-02,3.122614580206573009e-04,6.887602806091308594e-02
1.028267443180084229e-01,2.788732387125492096e-02,6.727503496222198009e-04,7.426667213439941406e-02
9.861233830451965332e-02,2.573424391448497772e-02,1.510789152234792709e-03,7.136730849742889404e-02
1.003065183758735657e-01,2.962660416960716248e-02,1.483643194660544395e-03,6.919626891613006592e-02
8.565048873424530029e-02,3.206638246774673462e-02,8.635485428385436535e-04,5.272055417299270630e-02
9.517557919025421143e-02,3.587299585342407227e-02,5.781916552223265171e-04,5.872439220547676086e-02
7.724089175462722778e-02,2.958313003182411194e-02,7.611955516040325165e-04,4.689656570553779602e-02
9.252323210239410400e-02,3.791246563196182251e-02,1.807524822652339935e-03,5.280324071645736694e-02
9.481903165578842163e-02,4.828152805566787720e-02,2.522019902244210243e-03,4.401548206806182861e-02
9.005370736122131348e-02,3.637532517313957214e-02,2.677033655345439911e-03,5.100135132670402527e-02
1.076760292053222656e-01,4.814794287085533142e-02,8.579341229051351547e-04,5.867015570402145386e-02
9.656073898077011108e-02,4.178655147552490234e-02,9.339832467958331108e-04,5.384020507335662842e-02
9.549002349376678467e-02,3.225754946470260620e-02,2.129236701875925064e-03,6.110323220491409302e-02
9.871940314769744873e-02,2.815597690641880035e-02,8.146031759679317474e-04,6.974881887435913086e-02
1.078230440616607666e-01,2.695040963590145111e-02,4.752209933940321207e-04,8.039741218090057373e-02
1.008454486727714539e-01,2.734015882015228271e-02,2.531431149691343307e-03,7.097385823726654053e-02
1.034033000469207764e-01,3.552754223346710205e-02,3.653575200587511063e-03,6.422218680381774902e-02
9.483720362186431885e-02,4.286165535449981689e-02,2.215837826952338219e-03,4.975970834493637085e-02
8.791795372962951660e-02,3.840367496013641357e-02,6.187381222844123840e-04,4.889553785324096680e-02
9.323165565729141235e-02,4.809558391571044922e-02,1.824035425670444965e-04,4.495366662740707397e-02
9.134916961193084717e-02,5.367241054773330688e-02,3.365583834238350391e-04,3.734020143747329712e-02
9.073261916637420654e-02,5.290670320391654968e-02,3.061321040149778128e-04,3.751977905631065369e-02
9.804546087980270386e-02,5.485620722174644470e-02,1.000393647700548172e-03,4.218886047601699829e-02
8.433993160724639893e-02,4.320479929447174072e-02,2.738619223237037659e-03,3.839651495218276978e-02
8.919890224933624268e-02,3.340486064553260803e-02,2.524002455174922943e-03,5.327003821730613708e-02
8.707301318645477295e-02,3.135240077972412109e-02,1.080180634744465351e-03,5.464043468236923218e-02
8.778914064168930054e-02,2.191563695669174194e-02,8.512587519362568855e-04,6.502224504947662354e-02
7.760344445705413818e-02,2.148192934691905975e-02,1.210638321936130524e-03,5.491087585687637329e-02
8.427093178033828735e-02,2.529174461960792542e-02,4.797974834218621254e-04,5.849938839673995972e-02
8.269466459751129150e-02,2.169240266084671021e-02,7.207203889265656471e-04,6.028154492378234863e-02
8.307669311761856079e-02,2.462793700397014618e-02,2.214569132775068283e-03,5.623418837785720825e-02
9.558548033237457275e-02,3.053865581750869751e-02,1.539688324555754662e-03,6.350713223218917847e-02
1.038665696978569031e-01,4.599960893392562866e-02,6.219242932274937630e-04,5.724503472447395325e-02
8.684383332729339600e-02,3.543813526630401611e-02,3.908455837517976761e-04,5.101484805345535278e-02
8.576793968677520752e-02,3.065465390682220459e-02,4.859153414145112038e-04,5.462737381458282471e-02
7.567121833562850952e-02,2.949353680014610291e-02,5.218358710408210754e-04,4.565584659576416016e-02
8.523385226726531982e-02,4.905752092599868774e-02,4.405612708069384098e-04,3.573577105998992920e-02
7.366947829723358154e-02,3.196173161268234253e-02,1.123724272474646568e-03,4.058402776718139648e-02
8.442034572362899780e-02,3.322703763842582703e-02,2.073812764137983322e-03,4.911949485540390015e-02
8.543427288532257080e-02,3.490258753299713135e-02,1.653898973017930984e-03,4.887778684496879578e-02
8.703242242336273193e-02,2.795848250389099121e-02,1.211403054185211658e-03,5.786253511905670166e-02
8.187380433082580566e-02,3.164513409137725830e-02,1.637286739423871040e-03,4.859137907624244690e-02
8.077438920736312866e-02,3.768324851989746094e-02,5.640826420858502388e-04,4.252705723047256470e-02
8.434634655714035034e-02,3.235632181167602539e-02,1.588953309692442417e-04,5.183112993836402893e-02
8.500114828348159790e-02,3.642231225967407227e-02,6.108054076321423054e-04,4.796802997589111328e-02
7.295899838209152222e-02,2.667609229683876038e-02,2.183871110901236534e-03,4.409903660416603088e-02
9.386385977268218994e-02,4.322692006826400757e-02,2.915806602686643600e-03,4.772113263607025146e-02
8.151187747716903687e-02,3.728122264146804810e-02,1.179490122012794018e-03,4.305116459727287292e-02
8.389003574848175049e-02,3.654108196496963501e-02,8.769622072577476501e-04,4.647199437022209167e-02
7.766214013099670410e-02,3.170872107148170471e-02,4.429189139045774937e-04,4.551050066947937012e-02
8.682461827993392944e-02,3.136483579874038696e-02,1.423488836735486984e-03,5.403629317879676819e-02
8.597630262374877930e-02,3.746586665511131287e-02,6.672412855550646782e-04,4.784319177269935608e-02
8.429981768131256104e-02,2.788469940423965454e-02,9.422690491192042828e-04,5.547284707427024841e-02
8.584083616733551025e-02,2.770878374576568604e-02,1.474939053878188133e-03,5.665711686015129089e-02
7.950431108474731445e-02,3.396925330162048340e-02,3.936776483897119761e-04,4.514137655496597290e-02
9.097740054130554199e-02,3.090975433588027954e-02,1.974920276552438736e-03,5.809272453188896179e-02
8.502928167581558228e-02,3.364121913909912109e-02,8.768362458795309067e-04,5.051122605800628662e-02
8.132655918598175049e-02,3.276878222823143005e-02,2.070804766844958067e-04,4.835069179534912109e-02
7.401526719331741333e-02,2.665006741881370544e-02,1.908412086777389050e-04,4.717435687780380249e-02
6.945366412401199341e-02,2.992572635412216187e-02,6.071116076782345772e-04,3.892082720994949341e-02
7.775175571441650391e-02,3.266942501068115234e-02,9.894508402794599533e-04,4.409288242459297180e-02
7.439032196998596191e-02,2.834670990705490112e-02,1.018077833577990532e-03,4.502553865313529968e-02
7.720676064491271973e-02,3.141555190086364746e-02,1.092473510652780533e-03,4.469873011112213135e-02
8.177004754543304443e-02,3.640422597527503967e-02,5.449448945000767708e-04,4.482087492942810059e-02
